cutoff,college_tier,nirf_rank,annual_fees,user_selected
156,2,51,145306,0
170,2,59,147692,0
163,2,92,147692,0
143,3,99,147692,0
198,3,127,147692,0
178,1,19,84346,1
151,1,37,84346,1
171,1,4,84346,1
181,2,63,84346,0
177,1,4,70564,1
171,2,86,70564,0
131,2,55,70564,0
158,2,47,70564,1
121,3,148,151488,0
122,1,26,151488,1
175,1,37,151488,1
200,3,84,151488,0
178,2,35,153027,1
121,2,98,153027,0
121,2,73,153027,0
173,1,21,153027,1
120,3,83,149096,0
138,3,197,149096,0
121,2,40,149096,1
172,1,4,149096,1
163,2,48,157325,0
151,2,38,157325,1
189,1,17,157325,1
151,3,93,157325,0
187,1,4,157158,1
174,3,111,157158,0
194,2,44,157158,1
175,1,3,157158,1
136,2,42,74721,0
157,3,106,74721,0
143,3,134,74721,0
188,3,133,74721,0
189,2,80,162174,0
130,2,66,162174,0
135,3,166,162174,0
192,1,18,162174,1
178,2,58,158088,1
189,1,31,158088,1
199,3,84,158088,0
122,3,166,158088,0
139,1,46,154638,1
178,3,138,154638,0
155,3,168,154638,0
138,1,24,154638,1
186,2,42,164377,1
138,3,153,164377,0
139,1,30,164377,1
190,2,40,164377,1
171,1,31,81255,1
152,3,143,81255,0
159,3,150,81255,0
158,3,83,81255,0
120,2,50,149147,0
130,3,94,149147,0
176,3,183,149147,0
169,2,71,149147,0
142,3,101,161811,0
150,1,18,161811,1
161,2,57,161811,0
126,1,28,161811,1
135,1,47,84124,1
179,1,11,84124,1
121,2,100,84124,0
120,2,42,84124,1
167,3,129,161062,0
131,1,6,161062,1
188,2,31,161062,1
156,2,45,161062,0
151,3,112,157222,0
128,2,67,157222,0
138,2,83,157222,0
167,3,122,157222,0
199,2,74,146779,0
122,1,47,146779,1
139,1,14,146779,1
143,3,197,146779,0
173,1,39,152016,1
152,3,173,152016,0
143,2,47,152016,1
194,3,82,152016,0
191,3,107,158416,0
155,3,135,158416,0
157,2,73,158416,0
144,3,173,158416,0
137,2,57,83005,0
185,2,83,83005,0
173,2,83,83005,0
154,3,116,83005,0
199,3,128,77156,0
180,3,181,77156,0
160,2,86,77156,0
152,2,78,77156,0
187,3,133,76299,0
152,1,42,76299,1
133,1,35,76299,1
140,2,73,76299,0
167,1,26,158357,1
139,1,5,158357,1
127,1,29,158357,1
126,1,37,158357,1
186,1,20,160186,1
136,3,87,160186,0
152,2,31,160186,1
167,2,43,160186,1
195,2,39,146582,1
178,1,36,146582,1
141,3,160,146582,0
149,3,163,146582,0
157,1,4,160124,1
170,2,41,160124,1
173,3,95,160124,0
127,3,125,160124,0
146,2,58,146693,0
146,2,72,146693,0
140,1,24,146693,1
149,3,159,146693,0
147,1,6,150446,1
183,3,138,150446,0
188,2,45,150446,1
180,2,76,150446,0
167,2,87,151900,0
138,1,20,151900,1
123,1,24,151900,1
154,1,25,151900,1
183,1,36,164288,1
168,3,152,164288,0
136,2,63,164288,0
163,1,24,164288,1
149,3,163,163544,0
165,3,116,163544,0
125,3,185,163544,0
156,3,160,163544,0
143,1,28,152960,1
165,2,87,152960,0
172,3,198,152960,0
179,2,86,152960,0
182,1,14,149043,1
151,3,158,149043,0
152,1,16,149043,1
186,1,16,149043,1
137,2,80,164733,0
144,2,61,164733,0
173,2,37,164733,0
177,1,13,164733,1
186,3,132,160622,0
165,1,44,160622,1
143,1,9,160622,1
151,3,128,160622,0
166,3,96,66729,0
142,3,143,66729,0
185,3,121,66729,0
146,2,33,66729,1
121,2,38,65358,1
136,1,21,65358,1
152,2,85,65358,0
128,2,79,65358,0
162,1,33,153631,1
167,3,129,153631,0
158,2,57,153631,0
161,1,6,153631,1
145,1,15,71286,1
169,2,88,71286,0
144,1,32,71286,1
143,3,129,71286,0
132,2,55,163481,0
179,2,54,163481,1
126,2,39,163481,0
176,3,111,163481,0
155,2,40,75292,0
164,2,82,75292,0
139,2,97,75292,0
184,1,26,75292,1
127,3,82,69725,0
135,3,116,69725,0
133,2,76,69725,0
195,3,119,69725,0
134,3,151,164633,0
185,3,119,164633,0
151,3,187,164633,0
182,2,76,164633,0
170,2,60,163411,0
144,2,75,163411,0
177,3,90,163411,0
182,1,49,163411,1
181,3,143,74446,0
141,3,87,74446,0
177,1,21,74446,1
177,3,173,74446,0
168,1,41,159939,1
171,2,56,159939,0
161,3,89,159939,0
189,1,4,159939,1
134,3,107,159602,0
173,3,128,159602,0
179,2,98,159602,0
127,1,33,159602,1
172,1,17,156903,1
179,2,91,156903,0
124,3,180,156903,0
187,2,75,156903,0
125,1,43,161958,1
166,2,32,161958,1
174,2,35,161958,0
159,3,161,161958,0
171,1,49,151130,1
135,3,117,151130,0
132,2,79,151130,0
149,3,199,151130,0
138,2,57,77155,0
136,2,99,77155,0
182,3,81,77155,0
138,1,1,77155,1
177,3,198,78291,0
174,2,77,78291,0
181,1,5,78291,1
142,2,93,78291,0
128,3,175,151380,0
131,1,48,151380,1
120,2,40,151380,0
177,2,47,151380,1
120,2,48,145688,0
153,1,16,145688,1
167,3,119,145688,0
120,3,189,145688,0
135,3,103,76076,0
180,3,178,76076,0
183,1,24,76076,1
182,3,191,76076,0
188,1,40,158561,1
141,1,38,158561,1
186,2,63,158561,0
195,2,37,158561,1
145,3,144,155883,0
135,2,37,155883,0
170,2,94,155883,0
176,1,21,155883,1
148,3,185,161753,0
197,2,88,161753,0
188,2,73,161753,0
166,1,46,161753,1
181,3,132,159853,0
188,2,65,159853,0
195,1,40,159853,1
135,1,21,159853,1
167,2,72,146774,0
158,2,71,146774,0
152,1,28,146774,1
142,3,127,146774,0
129,1,27,158777,1
188,2,51,158777,0
153,3,155,158777,0
171,2,96,158777,0
129,2,42,70157,1
138,2,74,70157,0
177,1,2,70157,1
120,3,94,70157,0
188,2,83,147654,0
123,3,142,147654,0
135,1,44,147654,1
143,1,33,147654,1
199,1,42,81225,1
121,2,100,81225,0
151,2,96,81225,0
143,3,88,81225,0
131,2,64,163011,0
169,3,99,163011,0
154,1,50,163011,1
152,3,170,163011,0
152,3,164,152306,0
180,3,161,152306,0
170,3,156,152306,0
162,3,159,152306,0
131,2,87,159419,0
186,1,8,159419,1
184,1,24,159419,1
152,3,123,159419,0
159,2,88,68266,0
193,3,162,68266,0
162,2,34,68266,1
163,1,21,68266,1
148,1,8,153997,1
132,2,51,153997,0
131,2,70,153997,0
165,1,15,153997,1
121,2,98,157999,0
154,1,46,157999,1
200,2,85,157999,0
127,1,18,157999,1
145,3,138,162442,0
193,2,55,162442,1
153,2,48,162442,1
126,1,12,162442,1
187,1,2,152629,1
177,2,76,152629,0
194,2,100,152629,0
148,2,55,152629,0
155,1,45,78892,1
140,2,34,78892,1
155,3,85,78892,0
129,3,162,78892,0
192,1,43,164558,1
143,2,44,164558,1
183,1,38,164558,1
168,1,33,164558,1
155,3,93,153799,0
143,1,1,153799,1
142,2,57,153799,0
181,2,97,153799,0
156,3,118,75010,0
131,2,66,75010,0
174,1,43,75010,1
132,2,96,75010,0
142,2,53,97722,0
149,1,30,97722,1
136,2,69,97722,0
181,1,46,97722,1
132,1,19,87754,1
178,2,65,87754,0
138,1,9,87754,1
168,2,53,87754,0
131,2,33,98239,0
180,3,146,98239,0
138,1,16,98239,1
195,1,1,98239,1
128,1,45,95425,1
190,2,82,95425,0
147,3,177,95425,0
197,1,13,95425,1
171,3,101,85552,0
135,1,4,85552,1
188,2,70,85552,1
131,3,151,85552,0
144,3,198,45473,0
171,3,151,45473,0
172,3,141,45473,0
142,2,86,45473,0
135,3,85,85803,0
176,1,33,85803,1
158,3,111,85803,0
172,2,67,85803,0
161,3,89,56648,0
177,2,32,56648,1
158,2,80,56648,0
133,2,76,56648,0
124,3,128,92819,0
154,1,28,92819,1
194,1,29,92819,1
137,1,9,92819,1
195,1,38,47574,1
128,3,141,47574,0
193,1,6,47574,1
177,3,168,47574,0
136,2,59,55006,0
126,1,11,55006,1
165,3,164,55006,0
132,2,56,55006,0
159,2,80,87111,0
161,2,86,87111,0
128,3,83,87111,0
169,1,21,87111,1
146,3,124,84216,0
185,3,121,84216,0
124,2,83,84216,0
148,1,3,84216,1
156,2,45,91098,1
157,1,28,91098,1
127,1,30,91098,1
184,1,26,91098,1
136,2,61,80932,0
190,3,115,80932,0
164,3,176,80932,0
123,3,80,80932,0
155,2,40,46518,1
189,2,39,46518,1
150,2,46,46518,1
138,3,103,46518,0
180,1,41,52091,1
173,3,151,52091,0
158,2,54,52091,0
193,2,50,52091,1
138,3,188,83143,0
158,2,92,83143,0
186,3,125,83143,0
164,3,151,83143,0
132,2,95,98274,0
177,1,44,98274,1
139,2,68,98274,0
191,3,190,98274,0
180,1,15,54019,1
158,2,52,54019,0
120,2,68,54019,0
122,3,180,54019,0
196,1,20,43997,1
181,3,107,43997,0
182,3,168,43997,0
144,1,2,43997,1
175,1,35,84691,1
152,3,198,84691,0
157,1,28,84691,1
125,3,197,84691,0
177,2,78,51501,0
163,1,6,51501,1
164,3,109,51501,0
151,2,93,51501,0
164,2,94,95046,0
180,2,96,95046,0
166,2,44,95046,0
140,1,3,95046,1
199,2,97,93906,0
194,3,173,93906,0
155,1,47,93906,1
138,2,64,93906,0
139,2,87,52707,0
176,3,164,52707,0
137,1,35,52707,1
166,3,100,52707,0
168,2,90,54141,0
133,1,36,54141,1
134,1,12,54141,1
150,1,17,54141,1
120,2,35,80419,1
173,2,78,80419,0
122,3,94,80419,0
135,2,94,80419,0
176,1,15,96116,1
194,2,56,96116,1
131,3,187,96116,0
193,1,6,96116,1
135,1,27,89505,1
191,1,23,89505,1
195,3,131,89505,0
143,2,72,89505,0
147,2,49,95312,1
127,3,136,95312,0
155,3,131,95312,0
127,2,52,95312,0
177,3,133,51554,0
179,1,35,51554,1
169,1,19,51554,1
147,1,30,51554,1
160,1,14,87077,1
183,2,96,87077,0
146,3,177,87077,0
182,1,25,87077,1
136,1,40,59596,1
192,2,82,59596,0
152,3,94,59596,0
196,2,56,59596,0
148,2,41,86248,0
132,1,23,86248,1
165,1,22,86248,1
154,3,200,86248,0
125,3,136,51201,0
188,1,46,51201,1
166,3,151,51201,0
144,2,88,51201,0
185,3,141,98585,0
129,2,91,98585,0
175,2,79,98585,0
149,2,48,98585,1
124,2,98,47049,0
152,1,7,47049,1
184,1,14,47049,1
137,2,68,47049,0
168,3,90,41174,0
130,1,47,41174,1
145,2,42,41174,0
182,3,174,41174,0
178,1,36,51937,1
146,2,43,51937,0
168,2,48,51937,1
196,3,172,51937,0
152,1,9,98566,1
120,2,58,98566,0
140,3,119,98566,0
174,3,102,98566,0
125,2,86,85468,0
200,2,37,85468,1
188,2,91,85468,0
124,3,129,85468,0
122,2,46,51445,0
172,1,41,51445,1
142,3,188,51445,0
172,2,87,51445,0
156,2,98,88649,0
193,1,8,88649,1
193,2,91,88649,0
136,2,70,88649,0
197,2,98,44966,0
192,1,22,44966,1
120,2,78,44966,0
170,3,90,44966,0
164,1,29,96764,1
196,3,128,96764,0
123,2,39,96764,1
181,3,194,96764,0
184,3,145,89009,0
151,2,53,89009,0
153,3,183,89009,0
191,3,162,89009,0
158,2,55,93441,0
145,2,72,93441,0
153,2,84,93441,0
173,3,85,93441,0
122,3,98,82246,0
169,3,135,82246,0
131,2,70,82246,0
184,3,107,82246,0
173,1,44,85341,1
124,2,48,85341,1
176,1,9,85341,1
136,2,59,85341,0
166,2,82,86049,0
142,2,63,86049,0
198,2,51,86049,1
133,2,96,86049,0
185,2,35,87244,1
194,1,32,87244,1
170,2,39,87244,0
157,1,8,87244,1
183,1,45,84870,1
157,2,88,84870,0
169,2,88,84870,0
149,2,31,84870,1
198,2,58,91541,0
170,2,97,91541,0
182,3,184,91541,0
171,2,55,91541,0
157,2,39,49039,1
198,1,41,49039,1
149,2,88,49039,0
170,2,51,49039,0
200,2,80,92686,0
124,2,77,92686,0
148,2,50,92686,0
123,2,51,92686,0
129,3,135,52320,0
175,3,107,52320,0
136,3,80,52320,0
193,3,121,52320,0
136,1,7,92029,1
188,1,28,92029,1
153,1,28,92029,1
125,2,78,92029,0
172,3,142,99798,0
185,1,12,99798,1
196,3,151,99798,0
162,1,3,99798,1
194,3,159,49770,0
142,2,75,49770,0
174,1,2,49770,1
199,2,61,49770,0
194,1,34,88975,1
135,1,27,88975,1
127,2,67,88975,0
123,3,190,88975,0
123,2,56,87210,0
175,2,83,87210,0
144,2,79,87210,0
186,3,110,87210,0
186,1,22,92196,1
146,2,57,92196,0
151,1,18,92196,1
169,1,17,92196,1
180,2,56,56343,1
170,1,6,56343,1
138,2,48,56343,0
140,3,103,56343,0
124,1,8,93310,1
161,2,70,93310,0
180,1,42,93310,1
141,3,105,93310,0
140,2,69,84413,0
189,3,143,84413,0
120,2,52,84413,0
124,1,35,84413,1
131,2,76,86425,0
165,3,146,86425,0
153,2,98,86425,0
168,3,84,86425,0
197,3,146,81944,0
164,1,20,81944,1
146,1,49,81944,1
192,2,90,81944,0
145,2,79,44698,0
166,3,94,44698,0
175,3,114,44698,0
182,2,87,44698,0
167,1,8,41553,1
180,3,132,41553,0
200,1,20,41553,1
145,3,105,41553,0
155,2,67,96564,0
120,2,48,96564,1
127,1,21,96564,1
171,2,88,96564,0
198,2,92,43648,0
166,2,75,43648,0
175,1,41,43648,1
133,3,166,43648,0
147,3,83,92553,0
197,1,37,92553,1
121,1,49,92553,1
145,1,41,92553,1
133,2,89,53297,0
178,2,57,53297,0
175,2,83,53297,0
126,1,39,53297,1
122,2,38,82848,1
142,2,85,82848,0
137,2,88,82848,0
157,3,100,82848,0
134,1,46,99103,1
183,2,87,99103,0
147,2,89,99103,0
193,2,69,99103,0
158,3,165,83474,0
176,2,66,83474,0
136,3,141,83474,0
163,1,40,83474,1
144,1,44,91816,1
136,3,117,91816,0
132,2,87,91816,0
144,1,8,91816,1
187,1,8,41209,1
129,1,45,41209,1
186,3,125,41209,0
137,1,48,41209,1
153,2,97,92925,0
127,1,45,92925,1
159,2,84,92925,0
161,1,39,92925,1
160,2,67,88545,0
125,1,5,88545,1
171,3,186,88545,0
145,1,25,88545,1
183,2,34,42341,1
178,3,126,42341,0
175,2,100,42341,0
178,2,96,42341,0
189,2,76,80271,0
152,2,64,80271,0
172,2,97,80271,0
141,3,171,80271,0
140,2,30,90688,0
189,2,97,90688,0
189,3,183,90688,0
123,2,89,90688,0
194,1,2,43246,1
181,2,85,43246,1
181,3,119,43246,0
143,1,33,43246,1
174,2,50,57691,0
128,1,18,57691,1
122,2,92,57691,0
150,1,19,57691,1
159,2,54,42454,0
155,3,198,42454,0
143,2,75,42454,0
125,2,61,42454,0
185,3,143,57844,0
194,3,84,57844,0
123,1,12,57844,1
198,2,78,57844,0
125,1,41,82632,1
170,3,116,82632,0
181,3,135,82632,0
176,2,38,82632,1
185,3,188,59983,0
198,2,64,59983,1
194,2,68,59983,0
127,1,11,59983,1
145,3,152,98582,0
170,1,10,98582,1
164,3,191,98582,0
163,3,81,98582,0
124,3,144,40446,0
189,1,39,40446,1
145,2,58,40446,0
187,1,3,40446,1
138,2,42,85652,0
139,1,6,85652,1
131,3,171,85652,0
166,2,52,85652,0
120,2,74,48199,0
133,2,46,48199,0
183,2,95,48199,0
157,2,35,48199,0
156,2,47,45694,1
130,3,142,45694,0
196,2,62,45694,0
122,3,140,45694,0
152,3,133,60625,0
125,1,12,60625,1
169,3,173,60625,0
129,1,43,60625,1
124,3,182,26946,0
142,2,57,26946,0
129,3,137,26946,0
163,3,164,26946,0
121,3,135,53414,0
132,3,190,53414,0
159,2,44,53414,0
121,1,31,53414,1
184,2,53,21405,1
182,1,23,21405,1
192,2,76,21405,1
136,2,62,21405,0
128,3,80,51117,0
194,2,48,51117,1
134,3,101,51117,0
143,1,18,51117,1
157,3,180,34427,0
154,3,190,34427,0
168,2,58,34427,0
188,2,79,34427,0
181,3,200,50614,0
179,1,30,50614,1
169,2,63,50614,0
197,2,77,50614,1
194,1,32,53008,1
128,2,78,53008,0
153,1,3,53008,1
195,1,28,53008,1
154,1,44,57055,1
120,3,117,57055,0
159,2,55,57055,0
183,3,188,57055,0
141,2,100,22965,0
179,2,42,22965,1
183,2,98,22965,0
191,2,55,22965,0
130,1,36,72628,1
133,2,96,72628,0
179,1,24,72628,1
149,2,87,72628,0
154,2,78,84449,0
156,1,28,84449,1
124,1,37,84449,1
197,3,160,84449,0
145,2,46,79051,0
181,1,37,79051,1
123,3,124,79051,0
161,1,1,79051,1
137,2,58,154737,0
159,3,189,154737,0
191,1,19,154737,1
158,1,29,154737,1
133,1,10,149466,1
151,2,83,149466,0
170,1,28,149466,1
157,2,85,149466,0
142,1,43,164780,1
182,2,70,164780,0
134,3,192,164780,0
144,3,110,164780,0
136,2,58,81330,0
185,2,48,81330,1
197,2,95,81330,0
172,2,70,81330,0
170,2,74,74892,0
158,1,8,74892,1
170,3,165,74892,0
189,2,40,74892,1
125,1,12,79534,1
186,2,75,79534,0
126,2,59,79534,0
170,3,113,79534,0
191,3,105,164497,0
161,3,126,164497,0
183,1,45,164497,1
134,2,95,164497,0
148,2,37,154451,1
152,1,30,154451,1
146,1,24,154451,1
155,3,138,154451,0
148,1,11,96380,1
157,2,86,96380,0
176,1,4,96380,1
146,1,26,96380,1
174,1,27,97089,1
152,3,200,97089,0
187,3,93,97089,0
185,3,157,97089,0
129,2,96,84972,0
124,1,50,84972,1
193,2,83,84972,0
157,2,93,84972,0
132,3,94,88085,0
150,1,42,88085,1
166,2,84,88085,0
171,1,37,88085,1
175,2,33,86872,1
134,3,187,86872,0
148,2,59,86872,0
127,2,31,86872,1
124,2,91,87183,0
148,2,78,87183,0
166,3,99,87183,0
187,3,179,87183,0
195,3,114,92571,0
164,3,111,92571,0
121,2,54,92571,0
146,2,65,92571,0
155,2,37,91416,1
155,1,45,91416,1
145,3,140,91416,0
162,1,48,91416,1
146,3,150,82080,0
188,2,87,82080,0
139,2,93,82080,0
130,2,73,82080,0
193,3,178,86223,0
157,2,88,86223,0
125,2,100,86223,0
191,1,34,86223,1
142,2,35,98190,1
166,1,22,98190,1
165,3,93,98190,0
131,2,46,98190,1
132,2,45,99421,1
181,1,34,99421,1
179,1,32,99421,1
162,3,147,99421,0
195,1,49,86209,1
187,1,21,86209,1
124,1,46,86209,1
156,3,171,86209,0
191,3,95,80617,0
150,2,42,80617,0
128,1,11,80617,1
170,2,83,150265,0
